# N = 100 documents, 141 terms, 41 terms with idf = 0
# term               df      idf
100                   5   1.3010
activ                 5   1.3010
and                 100   0.0000
avail               100   0.0000
be                  100   0.0000
beig                  6   1.2218
black                19   0.7212
blend                30   0.5229
blue                 16   0.7959
border               10   1.0000
breathabl            20   0.6990
button               10   1.0000
can                 100   0.0000
care                 17   0.7696
casual              100   0.0000
check                 5   1.3010
chiffon               5   1.3010
closur               10   1.0000
colour              100   0.0000
colourfast           17   0.7696
comfort             100   0.0000
common              100   0.0000
construct            17   0.7696
cotton               58   0.2366
crew                  5   1.3010
daili                 5   1.3010
denim                15   0.8239
depend              100   0.0000
design              100   0.0000
dress                10   1.0000
durabl               23   0.6383
easi                 17   0.7696
essenti             100   0.0000
everyday            100   0.0000
fabric               51   0.2924
featur              100   0.0000
festiv              100   0.0000
finish               17   0.7696
fit                  45   0.3468
fleec                15   0.8239
fli                  10   1.0000
floral                2   1.6990
for                 100   0.0000
friendli             17   0.7696
from                100   0.0000
garment             100   0.0000
graphic               5   1.3010
green                 8   1.0969
grey                 13   0.8861
handloom              5   1.3010
high                 10   1.0000
hoodi                10   1.0000
in                  100   0.0000
indian              100   0.0000
is                  100   0.0000
it                  100   0.0000
jacket               10   1.0000
jean                 10   1.0000
kangaroo             10   1.0000
kurta                10   1.0000
l                    20   0.6990
lavend                1   2.0000
leg                  10   1.0000
light                 1   2.0000
lightweight          10   1.0000
linen                10   1.0000
m                    20   0.6990
machin               10   1.0000
made                100   0.0000
maroon                9   1.0458
men                  35   0.4559
midi                  5   1.3010
minim                16   0.7959
mustard               3   1.5229
navi                 10   1.0000
neck                  5   1.3010
nylon                 5   1.3010
offic               100   0.0000
oliv                 10   1.0000
on                  100   0.0000
or                  100   0.0000
other               100   0.0000
overs                10   1.0000
pair                100   0.0000
pink                  6   1.2218
pocket               10   1.0000
poli                 10   1.0000
polyest               5   1.3010
print                20   0.6990
puffer                5   1.3010
pullov                5   1.3010
purpl                 1   2.0000
quilt                10   1.0000
red                   2   1.6990
regular             100   0.0000
s                    20   0.6990
sare                 10   1.0000
shirt                10   1.0000
short                10   1.0000
shrinkag             16   0.7959
size                100   0.0000
skin                 17   0.7696
sky                   2   1.6990
sleev                10   1.0000
slim                 15   0.8239
slub                  5   1.3010
solid                 5   1.3010
spandex               5   1.3010
standard            100   0.0000
stitch               23   0.6383
straight              5   1.3010
stretch              13   0.8861
stripe                5   1.3010
style               100   0.0000
suitabl             100   0.0000
sweatshirt           10   1.0000
teal                  2   1.6990
the                 100   0.0000
thi                 100   0.0000
travel              100   0.0000
tshirt               10   1.0000
unisex                5   1.3010
use                 100   0.0000
viscos               10   1.0000
waist                10   1.0000
waistband            10   1.0000
wardrob             100   0.0000
warm                 20   0.6990
washabl              10   1.0000
wear                100   0.0000
well                100   0.0000
white                 4   1.3979
wine                  3   1.5229
winter               20   0.6990
with                100   0.0000
women                60   0.2218
work                100   0.0000
xl                   20   0.6990
xxl                  20   0.6990
yellow                2   1.6990
zip                  10   1.0000
